business	Varairidzi, VanaChiremba, naVanaMukoti Voramwa Mabasa	Sangano rinomirira vadzidzisi vekumaruwa reAmalgamated Rural Teachers Union of Zimbabwe kana kuti ARTUZ rinoti nhengo dzaro zhinji hadzina kuenda kumabasa nhasi zvichitevera kurudziro yesangano iri yekuti varairidzi vasaende kumabasa vachitsutsumwa kuhurumende nemari dzemihoro. ARTUZ inoti nhengo dzayo dzakawanda nhasi dzaswera dzichidziya mushana kudzimba dzisiri pabasa zvichitevera kurudziro yesangano iri yekuti nhengo dzaro dziramwe mabasa kubva nhasi kusvika neChishanu nepamusana pekushomeka kwemari dzemihoro dzavari kutambiriswa nehurumende. Sachigaro weARTUZ mudunhu reHarare, VaMunyaradzi Masiyiwa vaudza Studio 7 kuti vadzidzisi vasina kuenda kumabasa nhasi vanodarika zvikamu makumi mana kubva muzana. Mutungamiri weARTUZ, VaObert Masaraure vatiwo vachatora matanho akasimbarara kana hurumende ikaramba yakaisa zvimiti munzeve isiri kuda kuvabhadhara nemadhora ekuAmerica. Zvichakadai, mumwe mubereki ane mwana anodzidza pane chimwe chikoro chiri kuGoromonzi mudunhu reMashonaland East, Amai Tinotenda Kahari, vaudza Studio 7 kuti hurumende inofanira kugadzirisa nhuna dzevarairidzi nekukasika kuitira kuti vana vasarasikirwe nedzidzo. Zvichakadai, mutungamiri werimwe sangano revadzidzisi reProgressive Teachers Union of Zimbabwe, VaTakavafira Zhou, vati nhengo dzesangano ravo dzichatangawo kuramwa mabasa svondo rinouya. VaZhou vati sePTUZ vachataurawo nevemamwe masangano anomirira vashandi vose vehurumende kuti vaite muonerapamwe sechuma chemuzukuru. Mutungamiri weZIMTA VaRichard Gundani vanotiwo havasi kufara nemari dzavari kutambiriswa. Zvichakadai, gurukota rezvedzidzo, VaPaul Mavhima vaudza Studio 7 parunhare kuti homwe yehurumende yakabooka zvekuti hurumende haikwanise kubhadhara varairidzi nemari yekunze kana kuvawedzera maRTGS parizvino. Vati zvakawanda zvine chekuita nekuwedzerwa kwemari dzemihoro yevashandi vehurumende tibvunze kugurukota rezvemari VaMthuli Ncube avo vatisina kukwanisa kubata panharembozha yavo. Mutauriri weHealth Apex Council VaPanganai Chivese vanoti vanachiremba, vanamukoti nevamwe vashandi vehurumende vatotanga kuramwa mabasa nezuro. Vati vashandi vakawirirana kuenda kumabasa kaviri pazuva asi vachiita zvekuchinjana. Vayambira kuti hurumende ikasagadzirisa zvichemo zvavo havasi kuenda kubasa vose svondo rinouya. Vati health Services Board iyo tisina kubata yati hurumende yakanzwa chichemo chavo uye iri kuyedza kuchigadzirisa. Sangano rinomirira vashandi munyika reZimbabwe Congress of Trade Unions kana kuti ZCTU rinoti mushandi anotambira mari iri pasipasi anofanira kutambiriswa mazana matanhatu emadhora ekuAmerica sezvo zvinhu zviri kuramba zvichiwedzerwa mutengo muyika. No media source currently available  	https://www.voashona.com/a/varairidzi-vanachiremba-navanamukoti-voramwa-mabasa-/4964232.html
sports	Musona asiya kutambira maWarriors	  MUTAMBI wenhabvu Knowledge Musona nhasi asendeka shangu dzake dzekutambira chikwata chenyika cheZimbabwe Warriors.   Pachinyorwa chaatumira, Musona uyo ange ari mutungamiri wevatambi vemaWarriors ati ave kusiya kuti ape nguva kuchikwata chake cheAl-Tai pamwe nekupa vamwe vatambi mukana wekutambirawo maWarriors.   “Mhuri yeZimbabwe, nhasi ndokuzivisai kuti ndamira kutambira chikwata chedu chenyika chemaWarriors. Danho iri handina kuritora nyore sezvo ndange ndave nemakore 12 ndichimirira nyika yangu, iyo ndakatanga kutambira musi wa3 Kurume 2010, mumutambo uyo takasangana neSouth Africa.   “Ndave kusiya kuti ndipe nguva kuchikwata changu pamwe nekupa vamwe vatambi mukana wekumirira maWarriors.   “Ndichagara ndine ndangariro yekutambira nyika yangu ndichienda kumitambo yakaita seyeAFCON neCOSAFA Cup, nekurwira kuenda kuWorld Cup.   “Chimwe chikuru kupihwa chiremerera chekuve kaputeni kwemakore mashanu adarika,” adaro Musona.   Mutambo wekupedzisira waMusona achitambira maWarriors waive wekuAFCON musi wa18 Ndira wekuCameroon apo maWarriors akakunda Guinea 2-1 mumutambo uyo akanwisa chibodzwa chekutanga.	https://www.kwayedza.co.zw/musona-asiya-kutambira-mawarriors/
health	Zimbabwe Yosimbaradza Mitemo yeCovid-19 Lockdown	Hurumende inoti yadzosa mitemo yose yakashandiswa pakatanga kubuda chirwere cheCovid-19 gore rapera sezvo huwandu hwevanhu vari kuramba vachibatwa pamwe nekufa nechirwere cheCovid 19 huri kuramba huchikwira munyika. Vachitaura nevatori venhau muHarare mushure memusangano wedare remakurukota ehurumende, gurukota rezvekubudiswa kwemashoko, Amai Monica Mutsvangwa, vakati hurumende yadzosa mirawu yose yekuona kuti vanhu vatevedzera zvose zvinodiwa kuitira kurwisa denda reCovid-19 iro riri kuramba richikura munyika. Vakati vanobatwa nemhosva yekutyora mitemo yakatanga kushandiswa gore rapera, vacharangwa zvakasimba, uye vane mabhizinesi anotyora mitemo iyi, vachatorerwa marezenisi avo. Amai Mutsvangwa vakatiwo pane vanhu vari kurwara nechirwere cheCovid-19 mazana matatu nemakumi mashanu nevapfumbamwe vari muzvipatara zvehurumende, avo vari kushandisa zvikamu makumi maviri nechimwe kubva muzana chenzvimbo dzakachengeterwa kuti dzishandiswe nevarwere veCivid-19 muzvipatara zvehuruymende. Amai Mutsvangwa vakati makurukota ehurumende akatenderera nzvimbo dzakasiyana siyana achiona nzvimbo dziri kusangana nematambudziko anosanganisira zvekushandisa, kushomeka kwevashandi vezvehutano, kushomeka kwemweya unobatsira kufema varwere, kana medical oxygen nezvimwe. Amai Mutsvangwa vakatiwo dare remakurukota rakurudzira kuti bazi rezvemari riwanise nechimbi chimbi mari inoita mamiriyoni mazana matatu nemakumi matanhatu nemasere kana kuti 368 million RTGS kuti ishandiswe mukuona kuti vanhu vatevedzera mitemo yeLockdown Asi munyori anoona nezvehutano muMDC Alliance, uye vakambove gurukorta rezvehutano muhurumende yemubatanidzwa, Doctor Henry Madzorera, vanoti matambudziko ari kutaurwa nehurumende akagara ariko huye hurumende ingadai yakagadzirisa matambudziko aya. VaMadzorera vanotiwo vanokatyamadzwa nehuwandu hwevarwere veCovid-19 vanonzi vari muzvipatara vachiti zvimwe zvipatara zvakatozara kare nevarwere ava. Zvipatara zvehurumende zvakawanda pamwe nedzimwe nzvimbo dziri kuchengeterwa varwere veCovid-19 dzinonzi hadzina mweya wekubatsira kufema, medical oxygen, varwere veCovid-19 vanenge varwarisa. No media source currently available 	https://www.voashona.com/a/zimbabwe-govt-imposes-original-lockdown-regulations/5956185.html
health	VaChiwenga Vokurudzira Kuti Vanhu Vangwarire Covid-19	Mutevedzeri wemutungamiri wenyika, VaConstantino Chiwenga, vanoti veruzhinji vanofanirwa kuramba vakangwarira kurwisana nechirwere cheCovid-19 sezvo chiri kuramba chichitekeshera pasi rose. Vachitaura semunyarikani pakuparura chirongwa Covid-19 Charity Cycling Campaign muBulawayo, VaChiwenga vati veruzhinji munyika havachakoshesi kutevedzera zvinokurudzirwa kuitwa nevehutano pakudzivirira kutapuriranwa kwehutachiwana hwecoronavirus uho hunokonzera chirwere cheCovid-19. VaChiwenga, avo vanovewo gurukota rezvehutano, vati Covid-19 iri kudzoka nehukasha kunyanya kunyika dzekumadokero vakayambira veruzhinji kuti vasaite sekuti chirwere ichi hachisisiko. VaChiwenga vati zviri kubuda pakuongorora chirwere cheCovid-19 munyika zvinoratidza kuti huwandu hwevanhu vanobatwa nechirwere ichi munyika huri kukwira kupfuura huwandu hwevanhu vanobatwa nechirwere ichi vabva kunze kwenyika. Vati muAfrica, South Africa ndeimwe yenyika dziri kubatwawo nechirwere ichi vakatiwo sezvo zvizvarwa zvemuZimbabwe zvakawanda zviri muSouth Africa, zvakakosha kuti veruzhinji vangwarirewo chirwere ichi. VaChiwenga vati muBulawayo kunyanya dambudziko rekushaikwa kwemvura rinoisa vanhu panjodzi yekubatwa nechirwere cheCovid. Vati hurumende iri kuita zvose zvainogona kuti igadzirise dambudziko iri asi havana kutsanangura zvizere. Vanhu gumi nevanomwe vachachovha mabhasikoro kubva muBulawayo vachienda kuHarare senzira yekukurudzira veruzhinji kuzvidzivirira kubva kuchirwere ichi. Mukuru wesangano reRotary Club International muBulawayo, VaAlbert Mkandla, avo vakabatsira kuronga chirongwa ichi vaudza Studio7 kuti vaona iyi iri nzira inogona kubatsira kuti vanhu varambe vachikoshesa kudzivirira chirwere cheCovid-19. Gurukota rezvemitambo, Muzvare Kirsty Coventry, pamwe nemutevedzeri wegurukota rezvemaindasitiri, VaRaj Modi, vabatana naVaChiwenga mukusangana nevachachovha mabhasikoro ava mushure mekunge mutevedzeri wemutungamiri wenyika vaparura chirongwa ichi. Mumwe wevachovhi vemabhasikoro ari muchirongwa ichi, Nqobani Gatsheni, ati ari kufara zvikuru kuve muchirongwa ichi chekukurudzira veruzhinji kuti varambe vachirwisa chirwere cheCovid-19. Vachovhi ava vachabva muguta reBulawayo mangwana mangwanani uye vanotarisirwa kusvika muHarare mushure memazuva matanhatu. Zimbabwe yave nevanhu mazana maviri nemakumi mashanu nevashanu vafa nechirwere cheCovid-19, uye vanhu zviuru zvisere nemazana matanhatu nemakumi mapfumbamwe nevatanhatu, vakabatwa nechirwere ichi munyika yose. No media source currently available 	https://www.voashona.com/a/zimbabwe-vice-president-warns-people-against-complacency/5659910.html
health	Nhengo dzeParamende Dzonwa Mushonga Unodzivirira Korera	Nhengo dzeparamende dzapihwa mishonga yekudzivirira korera senzira yekukurudzira kuti vaparidze kunzvimbo dzavo nyaya yekudzivirira chirwere chekorera. Mukuru anoona nezvezvirwere zvekutapurirana mubazi rezvehutano, Dr Portia Manangazira, vaudza Studio7, kuti vafara chose kuti nhengo dzeparamende dzange dzichida kuziva pamusoro pekorera nezvimwe zvirwere zvemudumbu. Vatiwo vanovimba kuti nhengo dzeparamende dzichavabatsira kusvitsa mharidzo yavo kumachechi anorambidza nhengo dzawo kuti dzinwe mishonga yekudzivirira zvirwere. Imwe nhengo yeparamende zvakare vari sachigaro weMDC inotungamirwa naVaNelson Chamisa, Muzvare Tabitah Khumalo, vaudza Studio7 kuti vachakurudzira vanhu munharaunda dzavo kuti vaitewo sazvavaita nhasi. Mumiriri weMbizo, VaSettlement Chikwinya, vatiwo vatora mushonga senzira yekukurudzira vanhu vemunzvimbo kuti vazvidzivirire kukorera. Nynzvi munyaya dzehutano dziri kukurudzira veruzhinji kuti vamwe mushonga wekudzivirira korera, uyo uri kupihwa pachena. Zimbabwe yakatarisana nedambudziko rechirwere chekorera icho chinorapika nyore. Chirwere ichi chakauraya vanhu vanodarika zviuru zvina muna 2008, uye vanhu vanodarika zviuru makumi mapfumamwe vakabatwa nechirwere ichi.	https://www.voashona.com/a/zimbabwe-legislators-take-cholera-vaccines/4608176.html
sports	WARRIOR AFCON 2019: DeMbare 0, Bosso 0	ZVIKWATA zvinoti Dynamos FC neHighlanders hazvina kana mutambi mumwechete akasarudzwa kuti anotambira maWarriors kumakwishu eAfrica Cup of Nations (Afcon) pamwechete neCosafa Cup izvo zvasiyana nakare apo zvaibura vatambi vakawanda vaive shasha vaitambira chikwata chenyika ichi.   Kubva kare, DeMbare neBosso ndizvo zvaive zvikwata zvikuru muZimbabwe asi parizvino zvinotaridza kuti masamba asiyana sezvo matambiro ezvikwata izvi muPremier Soccer League adzikira zvikuru.   Kune zvimwe zvikwata izvo zvainonekwa sezvidiki zviri kutamba nhabvu inonwisa mvura.   Semuenzaniso, Herentals FC ine mutambi wayo Richard Hachiro ari muchikwata chemaWarriors,  Yadah Stars ina Leeroy Mavhunga kozoti Chapungu ina Talbert Shumba neFC Platinum ina Lawrence Mhlanga.   Svondo rino, Kwayedza yakaita hurukuro nevakuru veBosso neDeMbare pamusoro pekudzikira kwaita zvikwata izvi munyaya dzenhabvu.   Sachigaro weHighlanders – Kenneth Mhlophe – anoti ivo sechikwata vari panguva yekuvaka izvo vakatanga gore radarika.   Anoti chikwata chavo ndicho chimwe chine vatambi vechidiki muPSL saka makore anotevera vanogona kubura vatambi vakawanda vachazotambira maWarriors.   “Isu tiri panguva yekuvaka zvakatanga gore radarika, izvi zvinozivikanwa nemunhu wese, vatambi vedu vachiri vechidiki.   “Kutaura kuno tine vatambi vaviri vakashevedzwa kuchikwata chemaUnder-23 saka zvinorakidza kuti tiri kufamba negwara chairo,” anodaro.   Anoenderera mberi achiti Prince Dube – uyo akashavedzwa kumaU-23 – ane ramangwana rakanaka.   “Tina Prince Dube, mutambi ane tarenda rinonwisa mvura. Akaenda kuSouth Africa akanokanganiswa ikoko sezvo aisatambiswa asi akadzoka tiri kumubika patsva, gore rinotevera muchamuona ari kumaWarriors.   “Iye zvino ari kumaU-23, kutoshevedzwa ikoko kunorakidza kuti varairidzi vemaYoung Warriors vanozviziva kuti ane tarenda rinodadisa,” anodaro Mhlophe.   Maneja weDeMbare – Richard Chihoro – anoti chikwata chavo gore rino chakavakwa patsva saka vatambi vavo vachiri kumbodzidzana.   “Zvamunongoziva isu gore rino takatenga vatambi vatsva saka vange vachiri kumbodzidzana, mukatarisa matambiro atiri kuita vave kuita vachibatana, vachigona uye vachisimuka.   “Zvinonetsa kuti vangotanga nekupinda musquad asi tinoziva kuti munguva inotevera kuDeMbare kuchabva vatambi vakawanda vachienda kumaWarriors. Hazviite kuti kushaye vatambi vanobva kuDeMbare vachienda kumaWarriors, kana chikwata chedu changobatana vakawanda vachaenda,” anodaro Chihoro.   Paakabvunzwa neKwayedza kuti pavatambi vari muchikwata chavo parizvino ndevapi vaanofungira kuti vanogona kukwana kumaWarriors, Chihoro anoti, “Parizvino kutaura chokwadi hapana mutambi watinaye anokwana kumaWarriors.”   Zvakadai, nemusi weMugovera uno maWarriors achatanga kurwira kuchengetedza mukombe wavo weCosafa Cup apo achasangana nechikwata chichapedza chiri pamusoro muboka reGroup A kuDurban, kuSouth Africa.   Chikwata chaSunday ‘Mhofu’ Chidzambwa chiri kushandisa makwishu aya segadziro dzemutambo weAfcon uyo uchatanga nemusi wa21 Chikumi apo maWarriors achasangana neEgypt.   Mumakwishu ekupedzisira eAfcon ayo akaitirwa kuGabon mugore ra2017, DeMbare yaive nevatambi vaviri vaive muchikwata chemaWarriors vaiti Tatenda Mkuruva uyo aive mubati wepagedhi naElisha Muroiwa uyo aivhara bhora pamwechete naCosta Nhamoinesu.   Bosso yakapedzisira kuita vatambi vakapinda muchikwata chemaWarriors mugore ra2017 apo paiva naPrince Dube naHonest Moyo avo vakatakurwa naMhofu kuenda kuCosafa Cup. Muchikwata ichi maive zvakare naOcean Mushure weDynamos uyo akatamba zvainwisa mvura.	https://www.kwayedza.co.zw/warrior-afcon-2019-dembare-0-bosso-0/
health	Nyanzvi yeHutano hwePfungwa Yokurudzira Kutsigirwa kweVarwere vePfungwa neVehukama	Imwe nyanzvi yezvehutano hwepfungwa inoti zvakakosha chose kuti vanhu vane dambudziko rehutano hwepfungwa vapiwe rutsigiro nevanhu vari pedyo navo kuitira kuvabatsira kuti vakwanise kurarama munharaunda dzavagere. Doctor William Guri, avo vanoshanda neboka rezvehutano hwepfungwa kuvana vadiki kuBritain, vanoti basa ravo ndere kupa rutsigiro muzvikoro, kuvana, kuvadzidzisi nekuvabereki, nechinangwa chekuti vana vakwanise kuwana rutsigiro vachiri vadiki kuitira kuti vazokura vakasimba muhutano hwavo hwepfungwa. Doctor Guri vanoti basa rehutano hwepfungwa rinogona kuonekwa nevamwe sebasa risina kukosha, asi ibasa rakaskosha kwazvo rinofanirwa kutsigirwa nedzihurumende pamwe neveruzhinji. Vanoti pane zvakawanda zvinokonzera kuti munhu arware nepfungwa, zvinosanganisira kuomerwa nehupenyu, hurwere hweshuramatongo hweHIV/AIDS, kana kushaya basa chaiko. Doctor Guri vanotiwo ongororo dzavari kusanganawo nadzo dziri kuratidza kuti chirwere chiriko iye zvino ichi che Covid-19, chiri kukonzerawo zvakare kuti vanhu vakanganiswe hutano hwepfungwa kuburikidza nekugara vanhu vakavharirwa mudzimba vasingasangane nevamwe kungava kumabasa, kunzvimbo dzekudyira, kana kumitambo. Vanotiwo murwere weCovid-19 kana akasashanyirwa kuchipatara nehama neshamwari, anogona kukanganisika pfungwa zvakare. No media source currently available 	https://www.voashona.com/a/zimbabwe-diaspora-mental-health-doctor-william-guri/5540503.html
health	Madzimai Anoshanyira South Africa Onyunyuta neKurambidzwa Kupinda neMapiritsi eKuronga Mhuri	Madzimai ari kushanya kuSouth Africa haasi kufara nekutorerwa mapiritsi ekuronga mhuri kwaari kuitwa nevashandi vanoona nezvekupinda nekubuda kwevashanyi muSouth Africa. Madzimai aya anoti ari kubvumirwa kupinda nepakiti imwechete iyo inenge iyine mapiritsi anokwana mwedzi mumwechete. Madzimai aya anoti izvi zvinoita kuti azopedzesera oshandisa mapiritsi ekuronga mhuri ekuSouth Africa ayo vakawanda vanoti anovarwarisa zvinosanganisira kubuda ropa kwenguva yakareba. Amai Getrude Tarumbwa, avo vanodzidzisa kuPretoria, vanoti kurambidzwa mapiritsi akawanda anovakwanira kunozovamanikidza kunwa mapiritsi ekuSouth Africa ayo anovarwarisa, uye kubuda ropa rakawanda. Amai Tarumbwa vanoti munhu anofanirwa kubvumirwa mapiritsi anoenderana nenguva yaanenge abvumirwa kugara muSouth Africa. Izvi zvinotsigirwa naAmai Patricia Zuze, avo vanoenda kunotengesa zvinhu zvakaita semidziyo yemumba yakagadzirwa nemiti kuSouth Africa. Amai Zuze, avo vanogara mwedzi miviri kana mitatu vachitengesa, vanoti kutorerwa mapiritsi kutyorerwa kodzero dzavo uye vanozomanikidzwa kunwa mapiritsi ekuronga mhuri ekuSouth Africa avanoti anovarwarisa. Nekuda kwekurambidzwa kwemapiritsi akawanda pabhodha, mamwe madzimai ave kuita bhizinisi rekuenda nemapiritsi achinotengesera zvizvarwa zvemunyika zviri kuSouth Africa. Pakiti rimwe chete, iro rinopihwa pachena munyika rinotengeswa nemari iri pakati pemaRands zana nemakumi mashanu nemazana maviri zvichienderana nekuti munhu ari kuatengesera kunzvimbo ipi muSouth Africa. Amai Roselyne Chitani mumwe wemadzimai anotengesa mapiritsi ekuronga mhuri kuSouth Africa. Vatyairi vemabhazi anoenda kuSouth Africa vanoyambirawo vanhu vavanenge vakatakura zvinhu zvisingabvumirwe kupinda munyika iyi kuitira kuti vasazobatwa vachinzi vari kutakura vanhu vanopinda nezvinhu zvisingabvumirwe. Mutyairi webhazi reFirst Class, VaFrank Muguti, vachiyambira vashanyi vechidzimai kuti vasatakure mapiritsi ekuronga mhuri akawanda. Zvinhu zvakaita semufushwa, manhanga, nzimbe muriwo hazvibvumirwe kupinda nazvo pabhodha. Munhu anowanikwa nazvo anotorerwa uye haazobvumirwa kupinda munyika iyi musi waanenge abatwa. Munyori mubazi rezvehutano, Brg Gerald Gwinji, vanoti vachaongorora nyaya iyi vachiti hazvisi pamutemo kuti vanhu varambidzwe kana kuita zvinotadzisa kuti munhu atore mushonga wake sezvinenge zvataura chiremba. Hatina kunzwa divi reSouth Africa panyaya iyi. No media source currently available 	https://www.voashona.com/a/zimbabwe-south-africa-health-family-planning/4590908.html
health	Dzidziso yeNhomba yeCovid-19 Yokurudzirwa Kupihwa Veruzhinji	Mukuru wesangano riri kudzidzisa veruzhinji nezvechirwere cheCovid-19 rePerch Media, VaCollen Magobeya, vanoti vapedza kubayiwa nhomba dzavo mbiri vachiti semunhu anoshanda neveruzhinji zvinovabatsira kuti vasatapurirwa kana kutapurira vamwe chirwere. VaMagobeya vanoti havo dzidziso ichiri kudiwa kuitira kuti veruzhinji vanzwisise nezvenhomba iyi kuitira kuti chirwere ichi chisadzoke zvakare zvine hukasha. Zimbabwe ine hurongwa hwekubaya nhomba yeCovid-19 vanhu vanosvika mamiriyoni gumi. Asi vanhu vabayiwa nhomba iyi kusvika pari zvino vachiri vashoma zvichienzaniswa nevanotarisirwa kunge vabayiwa. Mukuzeya nyaya iyi, tabata VaMagobeya. No media source currently available     	https://www.voashona.com/a/zimbabwe-experts-urge-govt-to-disperse-more-information-on-vaccines/5843753.html
health	National Aids Council Yobatsira Vagari vemuBulawayo Pachena	Vamwe vanhu vanogara kunze kweguta reBulawayo nemusi weChina vakaongororwa ropa, chirwere cheshuga, maziso nezvimwe pachena pasi pechirongwa cheNational Aids Council. Chirongwa ichi chakaitwa kunzvimbo yeRobert Sinyoka Primary School kunze kweguta reBulawayo pasi pechirongwa cheNational AIDS Council chekukurudzira veruzhinji kuti vaongororwe ropa ravo. Mukuru weLuveve District Aids Awareness Committee Amai Priscilla Mac-Isaac vakaudza Studio 7 kuti chirongwa ichi chaitwa neNAC ichishanda nemamwe masangano akasiyana-siyana, uye chakanangana nevanhu vanoonekwa vari panjodzi yekutapurirwa hutachiwana hweHIV. Vamwe vevanhu vakauya kuchirongwa ichi vakakwanisa kuongororwa ropa ravo pamwe nezvimwe vakati vakafara nechirongwa ichi sezvo chakaunzwa kwavari. Mumwe wevanhu vakabatsirwa ndemumwe wevechidiki anonzi Thomas Nyoni uyo ati anoziva kuti zvakakosha kuti munhu azive kuti ropa rake rine hutachiwana hweHIV here kana kuti kwete. Asi ati vanhu vakawanda vemunharaunda yenzvimbo yeRobert Sinyoka vanotadza kuita izvi nekuti vanoshaya mari yekuenda kuzvipatara zviri pedyo. Izvi zvakatsigirwawo nemumwe musikana uyo angoda kudeedzwa nezita rekuti Patience. Muzvare Margaret Mucheki avo vati vakabatwa nechirwere chemaziso chinonzi glaucoma vati vafarawo kuti vakwanisa kutariswa maziso avo pachena. Amai Mac-Isaac vati veNAC vave kugara vachiita zvirongwa zvekuenda muvanhu senzira yekukurudzira veruzhinji kuti vazive pavamire mairirano nehutachiwana hweHIV/ Aids. Pachirongwa ichi painge paine mamwe masanganowo akasiyana-siyana anosanganisira veZimbabwe National Family Planning Council avo vange vachidzidziswawo nezvekuronga mhuri kuchishandiswa nzira dzekudzivirira kubata pamuviri dzakasiyana-siyana. Mamwe masangano akadai seJustice for Children Trust neChildline vange varipowo vachidzisa vanhu pamusoro pekodzero dzevana uye nezvekudzivirira kushungurudzwa kwevana. No media source currently available 	https://www.voashona.com/a/zimbabwe-matongerwo-enyika/3943290.html
